player_id,name,team_code,position,height,birth_year,score_attack,score_serve,score_block,pps,segment
1,Armoa Morel,ARG,OH,195,2002,0.0,0.0,0.0,0.0,Low
2,Conte,ARG,OH,197,1989,4.41,2.24,3.24,3.41,Average
3,Danani,ARG,L,176,1995,0.0,0.0,0.0,0.0,Low
4,De Cecco,ARG,S,191,1988,1.38,1.0,2.65,1.64,Low
5,Gallego,ARG,MB,204,1996,0.48,0.0,0.29,0.28,Low
6,Giraudo,ARG,S,196,1998,0.0,0.0,0.0,0.0,Low
7,Gomez,ARG,O,191,2003,0.0,0.0,0.0,0.0,Low
8,Kukartsev,ARG,O,203,1993,2.38,0.25,1.18,1.38,Low
9,Lima B.,ARG,O,198,1996,6.23,2.49,6.18,5.09,Confirmed
10,Loser Bruno,ARG,MB,198,1997,3.75,1.75,10.0,5.02,Confirmed
11,Maciel,ARG,MB,205,2002,0.0,0.0,0.0,0.0,Low
12,Martinez Franchi,ARG,OH,190,1998,1.38,0.0,0.0,0.55,Low
13,Palacios,ARG,OH,198,1992,1.35,1.0,0.29,0.93,Low
14,Palonsky,ARG,OH,198,1999,5.01,2.0,2.94,3.49,Average
15,Ramos,ARG,MB,197,1991,2.46,0.5,0.59,1.31,Low
16,Sanchez Pages,ARG,S,175,1996,0.0,0.0,0.29,0.09,Low
17,Vicentin,ARG,OH,197,2000,2.29,2.0,2.65,2.31,Average
18,Zerba,ARG,MB,203,1999,3.25,0.0,8.82,3.95,Average
19,Adriano,BRA,OH,201,2002,2.59,0.5,0.0,1.18,Low
20,Alan,BRA,O,202,1994,3.7,1.75,5.59,3.68,Average
21,Arthur,BRA,OH,205,2004,0.0,0.0,0.0,0.0,Low
22,Bruno,BRA,S,190,1986,0.0,0.0,0.3,0.09,Low
23,Darlan,BRA,O,192,2002,5.79,2.49,3.82,4.21,Confirmed
24,Fernando,BRA,S,186,1996,0.35,0.5,1.18,0.64,Low
25,Flavio,BRA,MB,199,1993,3.29,0.25,9.73,4.31,Confirmed
26,Honorato,BRA,OH,190,1997,0.0,0.0,0.0,0.0,Low
27,Isac,BRA,MB,208,1990,2.04,1.0,0.89,1.38,Low
28,Judson,BRA,MB,204,1998,1.58,0.51,2.12,1.42,Low
29,L. Bergmann,BRA,OH,204,2004,2.12,0.76,0.6,1.25,Low
30,Leal,BRA,OH,202,1988,4.76,2.01,2.37,3.22,Average
31,Lucarelli,BRA,OH,196,1992,4.89,3.26,2.96,3.82,Average
32,Lucas,BRA,MB,206,1986,3.2,2.26,3.25,2.93,Average
33,Matheus G.,BRA,S,185,1997,0.0,0.0,0.0,0.0,Low
34,Mauricio,BRA,OH,199,1989,1.63,0.75,0.88,1.14,Low
35,Thales,BRA,L,190,1989,0.0,0.0,0.0,0.0,Low
36,Antov,BUL,O,196,2004,2.35,0.53,0.0,1.1,Low
37,Asparuhov,BUL,OH,201,2000,3.28,2.25,2.65,2.78,Average
38,Bardarov,BUL,OH,200,2003,0.0,0.0,0.0,0.0,Low
39,Bozhilov,BUL,L,190,1988,0.0,0.0,0.0,0.0,Low
40,D. Kolev,BUL,L,176,2002,0.0,0.0,0.0,0.0,Low
41,Dimitrov,BUL,O,208,2000,3.73,1.0,1.18,2.15,Average
42,Dobrev,BUL,L,175,2001,0.0,0.0,0.0,0.0,Low
43,Garkov,BUL,OH,198,2003,1.08,0.0,0.0,0.43,Low
44,Grozdanov,BUL,MB,208,1998,3.09,1.5,8.55,4.25,Confirmed
45,Kartev,BUL,MB,204,1995,0.0,0.0,0.0,0.0,Low
46,Karyagin,BUL,OH,206,2002,2.25,0.0,1.77,1.43,Low
47,Kolev,BUL,MB,204,1997,2.1,0.27,0.0,0.92,Low
48,Nachev,BUL,MB,206,2004,1.55,0.0,0.0,0.62,Low
49,Palev,BUL,S,188,2003,0.0,0.0,0.0,0.0,Low
50,Petkov,BUL,MB,200,1996,3.23,2.25,2.95,2.85,Average
51,Petrov,BUL,OH,197,1999,0.8,0.28,0.0,0.4,Low
52,S. Nikolov,BUL,S,207,2006,1.84,3.25,4.72,3.13,Average
53,Stankov,BUL,S,195,1996,1.54,0.0,0.0,0.62,Low
54,Tatarov,BUL,OH,198,2003,3.81,2.0,2.65,2.92,Average
55,Telkiyski,BUL,S,197,2001,0.0,0.0,0.0,0.0,Low
56,Valchinov,BUL,OH,202,2001,1.0,0.0,0.3,0.49,Low
57,Barnes,CAN,OH,200,1993,2.25,0.0,0.0,0.9,Low
58,Currie,CAN,L,174,1999,0.0,0.0,0.0,0.0,Low
59,Demyanenko,CAN,MB,196,1994,1.84,0.25,2.06,1.43,Low
60,Eshenko,CAN,MB,204,1997,2.06,0.5,2.06,1.59,Low
61,Herr,CAN,S,192,1994,1.14,2.0,2.94,1.94,Low
62,Hoag,CAN,OH,200,1992,1.28,1.25,0.0,0.89,Low
63,Hofer,CAN,OH,200,2000,0.0,1.52,0.0,0.46,Low
64,Loeppky,CAN,OH,197,1998,6.23,2.99,3.24,4.36,Confirmed
65,Lui,CAN,L,178,2000,0.0,0.0,0.0,0.0,Low
66,Maar,CAN,OH,201,1994,7.5,3.49,5.0,5.55,Confirmed
67,McCarthy,CAN,MB,200,1999,3.22,2.0,7.35,4.09,Confirmed
68,Schnitzer,CAN,MB,198,1999,0.0,0.0,0.0,0.0,Low
69,Szwarc,CAN,O,209,1995,5.41,2.49,4.12,4.15,Confirmed
70,Van Berkel,CAN,MB,210,1991,3.02,0.0,5.29,2.8,Average
71,Walsh,CAN,S,196,1994,0.0,0.0,0.29,0.09,Low
72,Wassenaar Ketrzynski,CAN,O,208,2000,2.21,0.75,0.59,1.28,Low
73,Alonso,CUB,MB,202,1997,0.84,0.0,0.88,0.6,Low
74,Camino,CUB,OH,186,2003,0.77,0.0,0.0,0.31,Low
75,Charles,CUB,O,196,2000,0.0,0.25,0.0,0.08,Low
76,Concepcion,CUB,MB,202,1997,4.59,1.75,7.08,4.48,Confirmed
77,Gorguet,CUB,L,187,1993,0.0,0.0,0.0,0.0,Low
78,Lopez,CUB,OH,189,1997,6.24,1.75,5.01,4.52,Confirmed
79,Masso,CUB,MB,200,1997,2.51,0.5,1.77,1.68,Low
80,Mergarejo,CUB,OH,196,1997,1.69,1.25,1.47,1.49,Low
81,Roman Garcia,CUB,L,175,1993,0.0,0.0,0.0,0.0,Low
82,Sanchez B.,CUB,O,206,1986,4.16,0.0,0.0,1.66,Low
83,Simon,CUB,MB,208,1987,3.45,3.0,6.49,4.23,Confirmed
84,Taboada,CUB,S,198,1998,0.0,0.0,0.0,0.0,Low
85,Thondike,CUB,S,190,2001,1.14,0.75,6.19,2.54,Average
86,Yant,CUB,OH,204,2001,6.72,3.5,4.42,5.06,Confirmed
87,Brizard,FRA,S,196,1994,1.54,2.48,2.05,1.98,Low
88,Bultor,FRA,MB,197,1995,1.99,0.75,1.18,1.37,Low
89,Carle,FRA,OH,195,1995,1.84,0.0,0.59,0.91,Low
90,Chinenyeze,FRA,MB,204,1998,1.68,0.59,0.69,1.06,Low
91,Chinenyeze,FRA,MB,204,1998,1.68,0.59,0.69,1.06,Low
92,Clevenot,FRA,OH,199,1994,5.9,1.99,3.23,3.93,Average
93,Diez,FRA,L,183,1998,0.0,0.0,0.0,0.0,Low
94,Faure,FRA,O,202,1999,4.83,1.74,1.17,2.8,Average
95,Grebennikov,FRA,L,188,1990,0.0,0.0,0.0,0.0,Low
96,Jouffroy,FRA,MB,202,1993,1.61,1.25,2.06,1.64,Low
97,Le Goff,FRA,MB,206,1992,3.18,0.5,9.96,4.41,Confirmed
98,Louati,FRA,OH,198,1992,5.16,2.73,4.39,4.2,Confirmed
99,Ngapeth,FRA,OH,194,1991,1.52,0.78,1.52,1.3,Low
100,Patry,FRA,O,207,1996,6.55,3.48,4.98,5.16,Confirmed
101,Seddik,FRA,MB,210,2006,2.89,1.74,5.86,3.43,Average
102,Tillie,FRA,OH,200,1990,2.96,0.74,2.05,2.02,Average
103,Toniutti,FRA,S,183,1989,0.0,1.24,0.88,0.64,Low
104,Bohme,GER,O,203,1997,1.68,0.25,1.2,1.11,Low
105,Brand,GER,OH,193,1998,4.58,2.5,1.47,3.03,Average
106,Brehme,GER,MB,206,1999,0.0,0.0,0.63,0.19,Low
107,Burggraf,GER,S,184,1999,0.0,0.0,0.0,0.0,Low
108,Fromm,GER,OH,204,1990,1.71,1.0,0.59,1.16,Low
109,Goralik,GER,MB,206,1997,0.0,0.0,0.0,0.0,Low
110,Graven,GER,L,180,2004,0.0,0.0,0.0,0.0,Low
111,Grozer,GER,O,200,1984,2.37,1.02,0.9,1.52,Low
112,John,GER,O,204,2001,2.2,0.53,0.32,1.14,Low
113,Kaliberda,GER,OH,193,1990,0.71,0.0,0.0,0.28,Low
114,Kampa,GER,S,196,1986,1.21,1.27,0.3,0.95,Low
115,Karlitzek,GER,OH,191,1996,4.29,2.03,2.1,2.96,Average
116,Krage,GER,MB,203,1997,2.62,0.25,2.06,1.74,Low
117,Krick,GER,MB,210,1998,2.52,0.25,2.4,1.8,Low
118,Kunstmann,GER,MB,201,2003,0.0,0.0,0.0,0.0,Low
119,Maase,GER,MB,208,1998,3.26,2.0,5.31,3.5,Average
120,Peter,GER,OH,197,1997,1.54,0.27,0.0,0.7,Low
121,Reichert,GER,OH,194,1995,3.63,0.76,0.9,1.95,Low
122,Schott,GER,OH,193,1994,1.48,1.02,0.3,0.99,Low
123,Tille,GER,S,186,1997,0.7,1.27,0.0,0.66,Low
124,Zenger,GER,L,190,1997,0.0,0.0,0.0,0.0,Low
125,Zimmermann,GER,S,190,1993,0.59,0.26,0.6,0.49,Low
126,Amin,IRI,O,202,1996,6.64,2.5,5.31,5.0,Confirmed
127,Arman,IRI,L,180,1992,0.0,0.0,0.0,0.0,Low
128,Arshia,IRI,S,194,2003,0.77,0.0,0.0,0.31,Low
129,Barbast,IRI,O,200,2002,1.23,0.0,0.0,0.49,Low
130,Esfandiar,IRI,OH,209,1999,0.8,0.0,0.0,0.32,Low
131,Hazrat,IRI,OH,187,1999,0.0,0.0,0.0,0.0,Low
132,Javad,IRI,S,204,1998,0.0,0.0,0.0,0.0,Low
133,Jelveh,IRI,MB,201,2001,2.07,0.75,2.06,1.67,Low
134,Matin,IRI,MB,201,2001,0.0,0.0,0.0,0.0,Low
135,Milad,IRI,OH,196,1993,3.9,1.5,3.83,3.16,Average
136,Mohammad,IRI,MB,204,2001,2.58,1.5,5.01,2.98,Average
137,Morteza,IRI,OH,193,1999,3.05,1.76,2.07,2.37,Average
138,Moslehabadi,IRI,MB,206,1998,2.35,1.76,4.44,2.8,Average
139,Nasri,IRI,OH,201,2003,1.4,0.25,0.3,0.72,Low
140,Poriya,IRI,OH,202,2004,3.55,1.0,1.47,2.16,Average
141,Sadati,IRI,O,193,2003,0.0,0.0,0.0,0.0,Low
142,Salehi,IRI,L,198,1998,3.28,1.0,2.07,2.23,Average
143,Vadi,IRI,S,194,1989,1.03,0.25,2.36,1.2,Low
144,Anzani,ITA,MB,204,1992,2.01,0.25,0.3,0.97,Low
145,Balaso,ITA,L,178,1995,0.0,0.0,0.0,0.0,Low
146,Bottolo,ITA,OH,196,2000,2.89,1.31,0.62,1.73,Low
147,Bovolenta,ITA,O,202,2004,3.25,0.5,0.88,1.72,Low
148,Caneschi,ITA,MB,205,1997,1.21,0.0,0.0,0.48,Low
149,Cortesia,ITA,MB,198,1999,0.0,0.0,0.0,0.0,Low
150,Falaschi,ITA,S,188,1987,0.0,0.0,0.0,0.0,Low
151,Gaggini,ITA,L,184,2002,0.0,0.0,0.0,0.0,Low
152,Galassi,ITA,MB,201,1997,2.66,0.51,5.7,2.93,Average
153,Gardini,ITA,OH,205,1999,0.0,0.0,0.0,0.0,Low
154,Giannelli,ITA,S,200,1996,1.99,1.78,3.6,2.41,Average
155,Gironi,ITA,OH,200,2000,1.88,0.26,0.0,0.83,Low
156,Laurenzano,ITA,L,176,2003,0.0,0.0,0.0,0.0,Low
157,Lavia,ITA,OH,200,1999,3.26,1.27,1.5,2.14,Average
158,Michieletto,ITA,OH,205,2001,4.17,3.56,4.5,4.09,Confirmed
159,Mosca,ITA,MB,208,2000,2.32,0.79,3.4,2.19,Average
160,Porro L.,ITA,OH,193,2004,3.14,1.0,0.59,1.73,Low
161,Porro P.,ITA,S,185,2001,0.0,0.0,0.0,0.0,Low
162,Recine,ITA,OH,186,1999,1.25,0.5,0.29,0.74,Low
163,Rinaldi,ITA,OH,200,2001,0.0,0.0,0.0,0.0,Low
164,Romano,ITA,O,201,1997,3.95,2.03,3.0,3.09,Average
165,Russo,ITA,MB,207,1997,2.59,1.02,5.4,2.96,Average
166,Sanguinetti,ITA,MB,203,2000,2.46,0.5,1.18,1.49,Low
167,Sbertoli,ITA,S,188,1998,0.77,0.75,0.29,0.62,Low
168,Fukatsu,JPN,S,183,1987,2.25,0.25,0.59,1.15,Low
169,Ishikawa,JPN,OH,192,1995,6.29,2.51,3.85,4.42,Confirmed
170,Kai,JPN,OH,200,2003,2.81,1.99,0.29,1.81,Low
171,Kentaro,JPN,MB,201,1995,2.4,0.5,3.23,2.08,Average
172,Larry,JPN,MB,195,2000,1.94,0.0,0.88,1.04,Low
173,Miyaura,JPN,O,190,1999,3.81,2.98,0.59,2.59,Average
174,Nishida,JPN,O,187,2000,6.39,4.72,2.93,4.85,Confirmed
175,Nishyama,JPN,O,193,2003,0.0,0.0,0.0,0.0,Low
176,Ogawa,JPN,L,176,1996,0.0,0.0,0.0,0.0,Low
177,Onodera,JPN,MB,200,1996,3.21,1.49,5.56,3.4,Average
