Name,Team,Pt_Attack,Err_Attack,Att_Attack,MAvg_Attack,p_Attack,Tot_Attack
T. Stern,SLO,265,68,153,17.67,54.53,486
Nimir,NED,235,81,138,19.58,51.76,454
Maar,CAN,194,59,150,14.92,48.14,403
Cebulj,SLO,179,63,149,11.93,45.78,391
Yant,CUB,167,49,98,13.92,53.18,314
Amin,IRI,167,49,121,13.92,49.55,337
Patry,FRA,164,41,123,10.93,50,328
Loeppky,CAN,157,37,145,12.08,46.31,339
Nishida,JPN,156,41,88,10.4,54.74,285
Ishikawa,JPN,155,49,96,14.09,51.67,300
Lima B.,ARG,154,60,90,11.85,50.66,304
Lopez,CUB,154,54,94,12.83,50.99,302
Van Garderen,NED,146,54,125,12.17,44.92,325
Clevenot,FRA,142,29,93,10.14,53.79,264
Darlan,BRA,141,52,89,10.85,50,282
Luburic,SRB,139,37,74,11.58,55.6,250
Urnaut,SLO,133,57,133,8.87,41.18,323
Mandiraci,TUR,133,34,119,12.09,46.5,286
Szwarc,CAN,129,43,80,9.92,51.19,252
Louati,FRA,124,47,91,8.27,47.33,262
Palonsky,ARG,121,34,114,9.31,44.98,269
Lucarelli,BRA,114,30,83,10.36,50.22,227
Leal,BRA,109,28,74,9.91,51.66,211
Faure,FRA,109,21,69,7.27,54.77,199
Brand,GER,107,33,89,8.92,46.72,229
Conte,ARG,101,28,82,7.77,47.87,211
Karlitzek,GER,98,36,74,12.25,47.12,208
Concepcion,CUB,96,15,40,8,63.58,151
Defalco,USA,96,29,56,12,53.04,181
Michieletto,ITA,94,21,82,11.75,47.72,197
A. Lagumdzija,TUR,94,46,82,7.83,42.34,222
Sanchez B.,CUB,93,30,69,7.75,48.44,192
Gurbuz,TUR,93,31,86,7.75,44.29,210
Milad,IRI,92,46,101,7.67,38.49,239
Tatarov,BUL,88,36,96,7.33,40,220
Miyaura,JPN,87,42,80,5.8,41.63,209
Romano,ITA,86,28,59,10.75,49.71,173
Ivovic,SRB,85,38,50,7.08,49.13,173
Dimitrov,BUL,83,41,64,6.92,44.15,188
Alan,BRA,81,28,68,6.23,45.76,177
Reichert,GER,78,21,67,9.75,46.99,166
Pajenk,SLO,77,10,36,5.5,62.6,123
Loser Bruno,ARG,75,15,42,5.77,56.82,132
Asparuhov,BUL,74,37,88,6.17,37.19,199
Poriya,IRI,74,25,50,6.17,49.66,149
Kurek,POL,74,22,50,7.4,50.68,146
Kozamernik,SLO,73,18,32,4.87,59.35,123
Otsuka,JPN,70,28,79,5.38,39.55,177
Anderson,USA,70,18,97,8.75,37.84,185
Lavia,ITA,69,17,71,8.62,43.95,157
Kujundzic,SRB,69,17,46,5.75,52.27,132
Parkinson,NED,66,7,31,5.5,63.46,104
Salehi,IRI,65,20,43,5.91,50.78,128
Bovolenta,ITA,65,22,44,5,49.62,131
Maase,GER,63,19,37,5.25,52.94,119
Boladz,POL,63,17,27,6.3,58.88,107
Leon,POL,63,7,35,9,60,105
Zerba,ARG,62,9,44,4.77,53.91,115
