Name,Team,Pt_Block,Err_Block,Rebounds,MAvg_Block,p_Block,Tot_Block
Loser Bruno,ARG,34,59,47,2.62,-17.86,140
Le Goff,FRA,34,51,53,2.27,-12.32,138
Flavio,BRA,33,68,51,2.75,-23.03,152
Zerba,ARG,30,47,52,2.31,-13.18,129
Grozdanov,BUL,29,40,55,2.42,-8.87,124
Kozamernik,SLO,26,68,64,1.73,-26.58,158
Podrascanin,SRB,26,39,39,2.17,-12.5,104
McCarthy,CAN,25,41,34,1.92,-16,100
Concepcion,CUB,24,70,45,2,-33.09,139
T. Stern,SLO,24,44,50,1.6,-16.95,118
Simon,CUB,22,55,38,1.83,-28.7,115
Lima B.,ARG,21,43,33,1.62,-22.68,97
Thondike,CUB,21,27,28,1.75,-7.89,76
Kochanowski,POL,21,33,25,1.4,-15.19,79
Cebulj,SLO,21,36,23,1.4,-18.75,80
Seddik,FRA,20,58,39,1.33,-32.48,117
Plak,NED,20,39,42,1.67,-18.81,101
Mandiraci,TUR,20,31,27,1.82,-14.1,78
Alan,BRA,19,25,29,1.46,-8.22,73
Galassi,ITA,19,21,33,2.38,-2.74,73
Onodera,JPN,19,48,45,1.27,-25.89,112
Parkinson,NED,19,30,35,1.58,-13.1,84
Van Berkel,CAN,18,30,34,1.38,-14.63,82
Maase,GER,18,41,58,1.5,-19.66,117
Amin,IRI,18,39,35,1.5,-22.83,92
Russo,ITA,18,28,28,2.25,-13.51,74
Maar,CAN,17,50,39,1.31,-31.13,106
Lopez,CUB,17,29,30,1.42,-15.79,76
Patry,FRA,17,29,31,1.13,-15.58,77
Mohammad,IRI,17,37,42,1.42,-20.83,96
S. Nikolov,BUL,16,25,24,1.33,-13.85,65
Pajenk,SLO,16,47,67,1.14,-23.85,130
Bedirhan,TUR,16,47,52,1.33,-26.96,115
Yant,CUB,15,38,35,1.25,-26.14,88
Louati,FRA,15,36,21,1,-29.17,72
Moslehabadi,IRI,15,33,22,1.36,-25.71,70
Michieletto,ITA,15,15,19,1.88,0,49
Van Garderen,NED,15,32,20,1.25,-25.37,67
Fornal,POL,15,22,13,1.36,-14,50
Szwarc,CAN,14,31,44,1.08,-19.1,89
Janusz,POL,14,8,19,1.4,14.63,41
Darlan,BRA,13,35,29,1,-28.57,77
Milad,IRI,13,38,26,1.08,-32.47,77
Ishikawa,JPN,13,22,30,1.18,-13.85,65
Yamauchi,JPN,13,40,40,0.87,-29.03,93
Nedeljkovic,SRB,13,31,54,1.08,-18.37,98
Holt,USA,13,22,24,1.86,-15.25,59
Giannelli,ITA,12,15,27,1.5,-5.56,54
Gunes,TUR,12,20,38,1,-11.43,70
Matic,TUR,12,35,19,1,-34.85,66
Conte,ARG,11,31,21,0.85,-31.75,63
Lucas,BRA,11,33,39,1,-26.51,83
Loeppky,CAN,11,32,36,0.85,-26.58,79
Clevenot,FRA,11,25,18,0.79,-25.93,54
Mosca,ITA,11,24,14,2.2,-26.53,49
Kentaro,JPN,11,29,31,0.79,-25.35,71
Gurbuz,TUR,11,21,20,0.92,-19.23,52
Palonsky,ARG,10,26,19,0.77,-29.09,55
Lucarelli,BRA,10,30,15,0.91,-36.36,55
Petkov,BUL,10,23,38,0.83,-18.31,71
Herr,CAN,10,22,27,0.77,-20.34,59
Romano,ITA,10,21,24,1.25,-20,55
Nishida,JPN,10,27,29,0.67,-25.76,66
Keemink,NED,10,24,19,0.83,-26.42,53
Bednorz,POL,10,15,5,0.71,-16.67,30
Poreba,POL,10,10,5,1.25,0,25
De Cecco,ARG,9,25,27,0.69,-26.23,61
Vicentin,ARG,9,16,8,0.69,-21.21,33
Asparuhov,BUL,9,27,23,0.75,-30.51,59
Tatarov,BUL,9,34,26,0.75,-36.23,69
Nimir,NED,9,29,23,0.75,-32.79,61
Huber,POL,9,30,20,0.82,-35.59,59
A. Lagumdzija,TUR,9,11,17,0.75,-5.41,37
M. Lagumdzija,TUR,9,23,15,0.75,-29.79,47
Averill,USA,9,20,20,1.12,-22.45,49
Leal,BRA,8,33,20,0.73,-40.98,61
Krick,GER,8,18,18,1,-22.73,44
Vadi,IRI,8,30,33,0.67,-30.99,71
Kaczmarek,POL,8,13,9,1,-16.67,30
Jovovic,SRB,8,21,15,0.67,-29.55,44
Jendryk,USA,8,19,27,1,-20.37,54
Judson,BRA,7,17,13,1,-27.03,37
Demyanenko,CAN,7,16,24,0.54,-19.15,47
Eshenko,CAN,7,17,22,0.58,-21.74,46
Brizard,FRA,7,15,15,0.47,-21.62,37
Jouffroy,FRA,7,15,13,0.54,-22.86,35
Tillie,FRA,7,16,20,0.47,-20.93,43
Karlitzek,GER,7,16,10,0.88,-27.27,33
Krage,GER,7,27,18,0.58,-38.46,52
Jelveh,IRI,7,24,19,0.58,-34,50
Morteza,IRI,7,16,6,0.64,-31.03,29
Salehi,IRI,7,9,9,0.64,-8,25
Wiltenburg,NED,7,18,10,0.58,-31.43,35
Bieniek,POL,7,22,15,1.17,-34.09,44
Leon,POL,7,8,3,1,-5.56,18
Luburic,SRB,7,18,23,0.58,-22.92,48
Masulovic N.,SRB,7,13,16,0.58,-16.67,36
Anderson,USA,7,17,20,0.88,-22.73,44
Defalco,USA,7,18,19,0.88,-25,44
