Team,Name,Position,Height,Birth_Year
ARG,Armoa Morel,OH,195,2002
ARG,Conte,OH,197,1989
ARG,Danani,L,176,1995
ARG,De Cecco,S,191,1988
ARG,Gallego,MB,204,1996
ARG,Giraudo,S,196,1998
ARG,Gomez,O,191,2003
ARG,Kukartsev,O,203,1993
ARG,Lima B.,O,198,1996
ARG,Loser Bruno,MB,198,1997
ARG,Maciel,MB,205,2002
ARG,Martinez Franchi,OH,190,1998
ARG,Palacios,OH,198,1992
ARG,Palonsky,OH,198,1999
ARG,Ramos,MB,197,1991
ARG,Sanchez Pages,S,175,1996
ARG,Vicentin,OH,197,2000
ARG,Zerba,MB,203,1999
BRA,Adriano,OH,201,2002
BRA,Alan,O,202,1994
BRA,Arthur,OH,205,2004
BRA,Bruno,S,190,1986
BRA,Darlan,O,192,2002
BRA,Fernando,S,186,1996
BRA,Flavio,MB,199,1993
BRA,Honorato,OH,190,1997
BRA,Isac,MB,208,1990
BRA,Judson,MB,204,1998
BRA,L. Bergmann,OH,204,2004
BRA,Leal,OH,202,1988
BRA,Lucarelli,OH,196,1992
BRA,Lucas,MB,206,1986
BRA,Matheus G.,S,185,1997
BRA,Mauricio,OH,199,1989
BRA,Thales,L,190,1989
BUL,Antov,O,196,2004
BUL,Asparuhov,OH,201,2000
BUL,Bardarov,OH,200,2003
BUL,Bozhilov,L,190,1988
BUL,D. Kolev,L,176,2002
BUL,Dimitrov,O,208,2000
BUL,Dobrev,L,175,2001
BUL,Garkov,OH,198,2003
BUL,Grozdanov,MB,208,1998
BUL,Kartev,MB,204,1995
BUL,Karyagin,OH,206,2002
BUL,Kolev,MB,204,1997
BUL,Nachev,MB,206,2004
BUL,Palev,S,188,2003
BUL,Petkov,MB,200,1996
BUL,Petrov,OH,197,1999
BUL,S. Nikolov,S,207,2006
BUL,Stankov,S,195,1996
BUL,Tatarov,OH,198,2003
BUL,Telkiyski,S,197,2001
BUL,Valchinov,OH,202,2001
CAN,Barnes,OH,200,1993
CAN,Currie,L,174,1999
CAN,Demyanenko,MB,196,1994
CAN,Eshenko,MB,204,1997
CAN,Herr,S,192,1994
CAN,Hoag,OH,200,1992
CAN,Hofer,OH,200,2000
CAN,Loeppky,OH,197,1998
CAN,Lui,L,178,2000
CAN,Maar,OH,201,1994
CAN,McCarthy,MB,200,1999
CAN,Schnitzer,MB,198,1999
CAN,Szwarc,O,209,1995
CAN,Van Berkel,MB,210,1991
CAN,Walsh,S,196,1994
CAN,Wassenaar Ketrzynski,O,208,2000
CUB,Alonso,MB,202,1997
CUB,Camino,OH,186,2003
CUB,Charles,O,196,2000
CUB,Concepcion,MB,202,1997
CUB,Gorguet,L,187,1993
CUB,Lopez,OH,189,1997
CUB,Masso,MB,200,1997
CUB,Mergarejo,OH,196,1997
CUB,Roman Garcia,L,175,1993
CUB,Sanchez B.,O,206,1986
CUB,Simon,MB,208,1987
CUB,Taboada,S,198,1998
CUB,Thondike,S,190,2001
CUB,Yant,OH,204,2001
FRA,Brizard,S,196,1994
FRA,Bultor,MB,197,1995
FRA,Carle,OH,195,1995
FRA,Chinenyeze,MB,204,1998
FRA,Chinenyeze,MB,204,1998
FRA,Clevenot,OH,199,1994
FRA,Diez,L,183,1998
FRA,Faure,O,202,1999
FRA,Grebennikov,L,188,1990
FRA,Jouffroy,MB,202,1993
FRA,Le Goff,MB,206,1992
FRA,Louati,OH,198,1992
FRA,Ngapeth,OH,194,1991
FRA,Patry,O,207,1996
FRA,Seddik,MB,210,2006
FRA,Tillie,OH,200,1990
FRA,Toniutti,S,183,1989
GER,Bohme,O,203,1997
GER,Brand,OH,193,1998
GER,Brehme,MB,206,1999
GER,Burggraf,S,184,1999
GER,Fromm,OH,204,1990
GER,Goralik,MB,206,1997
GER,Graven,L,180,2004
GER,Grozer,O,200,1984
GER,John,O,204,2001
GER,Kaliberda,OH,193,1990
GER,Kampa,S,196,1986
GER,Karlitzek,OH,191,1996
GER,Krage,MB,203,1997
GER,Krick,MB,210,1998
GER,Kunstmann,MB,201,2003
GER,Maase,MB,208,1998
GER,Peter,OH,197,1997
GER,Reichert,OH,194,1995
GER,Schott,OH,193,1994
GER,Tille,S,186,1997
GER,Zenger,L,190,1997
GER,Zimmermann,S,190,1993
IRI,Amin,O,202,1996
IRI,Arman,L,180,1992
IRI,Arshia,S,194,2003
IRI,Barbast,O,200,2002
IRI,Esfandiar,OH,209,1999
IRI,Hazrat,OH,187,1999
IRI,Javad,S,204,1998
IRI,Jelveh,MB,201,2001
IRI,Matin,MB,201,2001
IRI,Milad,OH,196,1993
IRI,Mohammad,MB,204,2001
IRI,Morteza,OH,193,1999
IRI,Moslehabadi,MB,206,1998
IRI,Nasri,OH,201,2003
IRI,Poriya,OH,202,2004
IRI,Sadati,O,193,2003
IRI,Salehi,L,198,1998
IRI,Vadi,S,194,1989
ITA,Anzani,MB,204,1992
ITA,Balaso,L,178,1995
ITA,Bottolo,OH,196,2000
ITA,Bovolenta,O,202,2004
ITA,Caneschi,MB,205,1997
ITA,Cortesia,MB,198,1999
ITA,Falaschi,S,188,1987
ITA,Gaggini,L,184,2002
ITA,Galassi,MB,201,1997
ITA,Gardini,OH,205,1999
ITA,Giannelli,S,200,1996
ITA,Gironi,OH,200,2000
ITA,Laurenzano,L,176,2003
ITA,Lavia,OH,200,1999
ITA,Michieletto,OH,205,2001
ITA,Mosca,MB,208,2000
ITA,Porro L.,OH,193,2004
ITA,Porro P.,S,185,2001
ITA,Recine,OH,186,1999
ITA,Rinaldi,OH,200,2001
ITA,Romano,O,201,1997
ITA,Russo,MB,207,1997
ITA,Sanguinetti,MB,203,2000
ITA,Sbertoli,S,188,1998
JPN,Fukatsu,S,183,1987
JPN,Ishikawa,OH,192,1995
JPN,Kai,OH,200,2003
JPN,Kentaro,MB,201,1995
JPN,Larry,MB,195,2000
JPN,Miyaura,O,190,1999
JPN,Nishida,O,187,2000
JPN,Nishyama,O,193,2003
JPN,Ogawa,L,176,1996
JPN,Onodera,MB,200,1996
JPN,Otsuka,OH,194,2000
JPN,Oya,S,177,1995
JPN,Ran,OH,188,2001
JPN,Sekita,S,175,1993
JPN,Takanashi,OH,190,1997
JPN,Tomita,OH,190,1997
JPN,Yamamoto,L,171,1994
JPN,Yamauchi,MB,204,1993
NED,Ahyi,O,205,1997
NED,Andringa,L,192,1990
NED,Bak,OH,198,2001
NED,De Weijer,S,191,1995
NED,Jorna,OH,196,1989
NED,Keemink,S,197,1993
NED,Klok,L,189,1998
NED,Koops,OH,185,2000
NED,Meijs,S,202,2002
NED,Nimir,O,201,1992
NED,Parkinson,MB,203,1991
NED,Plak,MB,198,1997
NED,Ter Horst,OH,204,1991
NED,Ter Maat,O,200,1991
NED,Van Der Ent,MB,208,1998
NED,Van Garderen,OH,200,1990
NED,Wiltenburg,MB,205,1997
POL,Adamczyk,MB,208,1999
POL,Bednorz,OH,201,1994
POL,Bieniek,MB,210,1994
POL,Boladz,O,203,1994
POL,Butryn,O,194,1993
POL,Firlej,S,188,1996
POL,Fornal,OH,198,1997
POL,Hawryluk,L,181,2003
POL,Huber,MB,204,1998
POL,Jakubiszak,MB,207,1998
POL,Janusz,S,196,1994
POL,Kaczmarek,O,204,1994
