Name,Team,Sf_Receive,Err_Receive,Att_Receive,MAvg_Receive,p_Receive,Tot_Receive
Arman,IRI,90,16,164,7.5,33.33,270
Cebulj,SLO,84,22,237,5.6,24.49,343
Kovacic,SLO,78,21,204,5.2,25.74,303
Louati,FRA,71,13,204,4.73,24.65,288
Thales,BRA,65,15,161,5,26.97,241
Roman Garcia,CUB,64,31,159,5.33,25.2,254
Brand,GER,64,10,168,5.33,26.45,242
Bozhilov,BUL,63,11,122,5.25,32.14,196
Grebennikov,FRA,61,12,161,4.07,26.07,234
Maar,CAN,61,33,245,4.69,17.99,339
Clevenot,FRA,58,14,208,4.14,20.71,280
Palonsky,ARG,56,13,194,4.31,21.29,263
Milad,IRI,56,15,174,4.67,22.86,245
Danani,ARG,53,9,171,4.08,22.75,233
Yant,CUB,52,14,249,4.33,16.51,315
Andringa,NED,52,16,173,4.33,21.58,241
Tillie,FRA,50,3,94,3.33,34.01,147
Loeppky,CAN,49,22,205,3.77,17.75,276
Van Garderen,NED,49,27,224,4.08,16.33,300
Urnaut,SLO,47,17,207,3.13,17.34,271
Done,TUR,46,13,131,3.83,24.21,190
Kapur,SRB,46,14,141,4.18,22.89,201
Ivovic,SRB,46,13,101,3.83,28.75,160
Mandiraci,TUR,44,21,185,4,17.6,250
Kujundzic,SRB,43,13,127,3.58,23.5,183
Asparuhov,BUL,42,20,164,3.5,18.58,226
Lui,CAN,40,20,202,3.08,15.27,262
E. Shoji,USA,40,12,79,5,30.53,131
Tatarov,BUL,38,21,220,3.17,13.62,279
Lopez,CUB,38,11,177,3.17,16.81,226
Graven,GER,36,10,121,3,21.56,167
Lavia,ITA,36,11,86,4.5,27.07,133
Conte,ARG,34,4,142,2.62,18.89,180
Yamamoto,JPN,33,15,152,2.2,16.5,200
Balaso,ITA,33,7,99,4.12,23.74,139
Fornal,POL,30,10,83,2.73,24.39,123
Otsuka,JPN,29,5,150,2.23,15.76,184
Sliwka,POL,29,12,79,2.07,24.17,120
Reichert,GER,29,5,91,3.62,23.2,125
Michieletto,ITA,29,6,121,3.62,18.59,156
Jorna,NED,29,8,123,3.62,18.12,160
Leal,BRA,28,22,161,2.55,13.27,211
Peric,SRB,26,14,113,2.17,16.99,153
Ishikawa,JPN,26,15,145,2.36,13.98,186
Ewert,USA,25,11,94,3.12,19.23,130
Semeniuk,POL,25,9,86,1.79,20.83,120
Kovacevic,SRB,25,14,83,2.08,20.49,122
Ran,JPN,24,4,61,4.8,26.97,89
M. Lagumdzija,TUR,22,18,110,1.83,14.67,150
Bayram,TUR,22,28,91,1.83,15.6,141
Dagostino,USA,21,3,52,1.75,27.63,76
Popiwczak,POL,21,5,54,1.91,26.25,80
Bednorz,POL,20,6,78,1.43,19.23,104
Laurenzano,ITA,20,7,69,1.54,20.83,96
Schott,GER,20,5,71,2.5,20.83,96
Bottolo,ITA,20,4,66,4,22.22,90
Vicentin,ARG,19,5,87,1.46,17.12,111
Tomita,JPN,19,2,62,1.46,22.89,83
Lucarelli,BRA,19,14,188,1.73,8.6,221
Ogawa,JPN,18,8,61,1.2,20.69,87
Leon,POL,18,7,85,2.57,16.36,110
Martinez Franchi,ARG,17,8,37,1.31,27.42,62
Morteza,IRI,17,8,94,1.55,14.29,119
Anderson,USA,17,2,52,2.12,23.94,71
Defalco,USA,17,9,66,2.12,18.48,92
Porro L.,ITA,15,11,82,1.15,13.89,108
Zenger,GER,15,6,47,3.75,22.06,68
Diez,FRA,14,6,36,0.93,25,56
Mergarejo,CUB,14,7,45,1.17,21.21,66
Ter Horst,NED,14,5,56,3.5,18.67,75
Kai,JPN,13,7,115,0.87,9.63,135
Ngapeth,FRA,12,3,29,2,27.27,44
Adriano,BRA,12,4,48,1,18.75,64
Koops,NED,12,8,58,1,15.38,78
Kessel,USA,12,10,51,2,16.44,73
Zatorski,POL,12,4,60,1.71,15.79,76
Valchinov,BUL,11,7,48,1,16.67,66
Hatipoglu,TUR,11,7,50,0.92,16.18,68
Champlin,USA,11,5,47,2.75,17.46,63
Jaeschke,USA,11,4,31,2.75,23.91,46
Muagututia,USA,11,6,51,1.38,16.18,68
Mauricio,BRA,10,5,68,0.83,12.05,83
Fromm,GER,10,3,53,0.83,15.15,66
Salehi,IRI,10,11,52,0.91,13.7,73
Russell,USA,10,6,44,2.5,16.67,60
Poriya,IRI,9,10,63,0.75,10.98,82
Kozamernik,SLO,7,4,20,0.47,22.58,31
Hawryluk,POL,7,2,35,1.75,15.91,44
Kaliberda,GER,7,2,20,0.88,24.14,29
Recine,ITA,7,1,25,0.54,21.21,33
Hazrat,IRI,7,5,35,0.58,14.89,47
Ristic,SRB,7,4,29,0.58,17.5,40
Karlitzek,GER,7,3,30,0.88,17.5,40
Pajenk,SLO,6,1,10,0.43,35.29,17
Mozic,SLO,6,1,16,1.5,26.09,23
Van Berkel,CAN,5,0,8,0.38,38.46,13
Palacios,ARG,5,3,37,0.38,11.11,45
Simon,CUB,5,1,7,0.42,38.46,13
Carle,FRA,5,4,35,0.38,11.36,44
Karyagin,BUL,4,3,20,0.33,14.81,27
Subasi,TUR,4,0,18,1.33,18.18,22
Lima B.,ARG,4,0,15,0.31,21.05,19
Concepcion,CUB,4,1,26,0.33,12.9,31
Honorato,BRA,4,4,12,0.31,20,20
Bracko,SLO,4,5,10,0.27,21.05,19
Stalekar,SLO,4,1,4,0.27,44.44,9
Szymura,POL,4,7,49,0.5,6.67,60
Maase,GER,4,0,15,0.33,21.05,19
Grozdanov,BUL,3,0,6,0.25,33.33,9
Matic,TUR,3,0,12,0.25,20,15
Bedirhan,TUR,3,0,14,0.25,17.65,17
Hoag,CAN,3,4,20,0.23,11.11,27
Loser Bruno,ARG,3,1,9,0.23,23.08,13
Onodera,JPN,3,0,14,0.2,17.65,17
Takanashi,JPN,3,3,14,0.75,15,20
Ter Maat,NED,3,2,23,0.25,10.71,28
Szalpuk,POL,3,3,20,0.75,11.54,26
Galassi,ITA,3,0,6,0.38,33.33,9
Moslehabadi,IRI,3,0,4,0.27,42.86,7
Nasri,IRI,3,2,7,0.38,25,12
Patry,FRA,2,1,0,0.13,66.67,3
Barnes,CAN,2,0,7,0.15,22.22,9
McCarthy,CAN,2,1,5,0.15,25,8
Zerba,ARG,2,2,8,0.15,16.67,12
Nishida,JPN,2,2,2,0.13,33.33,6
Alan,BRA,2,2,3,0.15,28.57,7
Parkinson,NED,2,2,8,0.17,16.67,12
Russo,ITA,2,0,8,0.25,20,10
Jelveh,IRI,2,0,7,0.17,22.22,9
Mohammad,IRI,2,0,18,0.17,10,20
Krsmanovic,SRB,2,0,6,0.17,25,8
Podrascanin,SRB,2,0,2,0.17,50,4
Aydin,TUR,2,1,24,0.2,7.41,27
Petrov,BUL,2,1,5,0.67,25,8
Esfandiar,IRI,2,0,3,0.5,40,5
Smith,USA,2,0,2,0.29,50,4
Seddik,FRA,1,1,19,0.07,4.76,21
Gurbuz,TUR,1,1,1,0.08,33.33,3
A. Lagumdzija,TUR,1,3,4,0.08,12.5,8
Eshenko,CAN,1,0,5,0.08,16.67,6
Demyanenko,CAN,1,1,1,0.08,33.33,3
Kukartsev,ARG,1,0,0,0.08,100,1
Ramos,ARG,1,1,5,0.08,14.29,7
Kentaro,JPN,1,0,2,0.07,33.33,3
Thondike,CUB,1,1,3,0.08,20,5
Alonso,CUB,1,2,0,0.08,33.33,3
Flavio,BRA,1,1,6,0.08,12.5,8
Plak,NED,1,0,6,0.08,14.29,7
Nimir,NED,1,2,2,0.08,20,5
Wiltenburg,NED,1,0,3,0.08,25,4
Gasman,USA,1,0,1,0.25,50,2
Poreba,POL,1,0,0,0.12,100,1
Bohme,GER,1,0,1,0.12,50,2
Sanguinetti,ITA,1,0,6,0.08,14.29,7
Romano,ITA,1,0,1,0.12,50,2
L. Bergmann,BRA,1,5,38,0.11,2.27,44
Judson,BRA,1,0,2,0.14,33.33,3
Brehme,GER,1,0,6,0.25,14.29,7
Krick,GER,1,0,2,0.12,33.33,3
Klos,POL,1,0,3,0.17,25,4
Huber,POL,1,0,4,0.09,20,5
Ensing,USA,1,1,1,0.12,33.33,3
Caneschi,ITA,1,0,0,0.2,100,1
Bieniek,POL,1,0,1,0.17,50,2
S. Nikolov,BUL,0,0,4,0,0,4
Kolev,BUL,0,1,0,0,0,1
Garkov,BUL,0,2,16,0,0,18
Dimitrov,BUL,0,1,2,0,0,3
D. Kolev,BUL,0,0,0,,,0
Petkov,BUL,0,0,4,0,0,4
Telkiyski,BUL,0,0,0,,,0
Nachev,BUL,0,0,0,,,0
Chinenyeze,FRA,0,0,1,0,0,1
Toniutti,FRA,0,0,2,0,0,2
Brizard,FRA,0,0,1,0,0,1
Le Goff,FRA,0,1,7,0,0,8
Bultor,FRA,0,0,5,0,0,5
Faure,FRA,0,0,3,0,0,3
Savas,TUR,0,0,0,,,0
Eksi,TUR,0,0,0,,,0
Gunes,TUR,0,0,7,0,0,7
Yenipazar,TUR,0,1,3,0,0,4
Herr,CAN,0,2,3,0,0,5
Walsh,CAN,0,0,0,,,0
Wassenaar Ketrzynski,CAN,0,0,3,0,0,3
Szwarc,CAN,0,0,3,0,0,3
Currie,CAN,0,0,2,0,0,2
Sanchez Pages,ARG,0,0,2,0,0,2
Gallego,ARG,0,0,0,,,0
De Cecco,ARG,0,0,5,0,0,5
Fukatsu,JPN,0,0,1,0,0,1
Miyaura,JPN,0,0,1,0,0,1
Yamauchi,JPN,0,0,4,0,0,4
Sekita,JPN,0,3,4,0,0,7
Larry,JPN,0,0,0,,,0
Masso,CUB,0,0,4,0,0,4
Sanchez. B,CUB,0,0,1,0,0,1
Taboada,CUB,0,0,0,,,0
Camino,CUB,0,0,0,,,0
Gorguet,CUB,0,0,1,0,0,1
Charles,CUB,0,0,0,,,0
Bruno,BRA,0,0,1,0,0,1
Isac,BRA,0,0,4,0,0,4
Fernando,BRA,0,1,3,0,0,4
Lucas,BRA,0,0,7,0,0,7
Arthur,BRA,0,0,0,,,0
Darlan,BRA,0,1,6,0,0,7
Keemink,NED,0,0,6,0,0,6
Van Der Ent,NED,0,1,1,0,0,2
Klok,NED,0,0,0,,,0
De Weijer,NED,0,0,0,,,0
Bak,NED,0,0,0,,,0
T. Stern,SLO,0,0,5,0,0,5
Toman,SLO,0,0,1,0,0,1
Vincic,SLO,0,1,0,0,0,1
Z. Stern,SLO,0,0,2,0,0,2
Ropret,SLO,0,1,3,0,0,4
Mujanovic,SLO,0,0,0,,,0
Krzic,SLO,0,0,0,,,0
Garcia,USA,0,0,2,0,0,2
Isaacson,USA,0,0,1,0,0,1
Hanes,USA,0,0,1,0,0,1
Tuaniga,USA,0,1,0,0,0,1
Briggs,USA,0,0,0,,,0
Wildman,USA,0,0,0,,,0
Knigge,USA,0,0,3,0,0,3
Marshman,USA,0,0,0,,,0
Wetter,USA,0,1,0,0,0,1
Komenda,POL,0,0,0,,,0
Lomacz,POL,0,0,1,0,0,1
Kochanowski,POL,0,0,4,0,0,4
Butryn,POL,0,0,1,0,0,1
Boladz,POL,0,1,0,0,0,1
Adamczyk,POL,0,0,0,,,0
Jakubiszak,POL,0,0,0,,,0
Kunstmann,GER,0,0,0,,,0
John,GER,0,0,0,,,0
Peter,GER,0,0,2,0,0,2
Zimmermann,GER,0,0,3,0,0,3
Krage,GER,0,0,2,0,0,2
Goralik,GER,0,0,0,,,0
Burggraf,GER,0,0,0,,,0
Giannelli,ITA,0,0,5,0,0,5
Sbertoli,ITA,0,0,2,0,0,2
Anzani,ITA,0,2,1,0,0,3
Bovolenta,ITA,0,0,3,0,0,3
Amin,IRI,0,0,4,0,0,4
Javad,IRI,0,0,0,,,0
Vadi,IRI,0,0,4,0,0,4
Barbast,IRI,0,0,0,,,0
Jovovic,SRB,0,0,2,0,0,2
Atanasijevic,SRB,0,0,3,0,0,3
Masulovic N.,SRB,0,1,1,0,0,2
Luburic,SRB,0,0,1,0,0,1
Todorovic,SRB,0,1,2,0,0,3
Nedeljkovic,SRB,0,0,4,0,0,4
Jouffroy,FRA,0,0,5,0,0,5
Marovt,SLO,0,0,0,,,0
Tille,GER,0,0,2,0,0,2
Grozer,GER,0,0,1,0,0,1
Kampa,GER,0,0,0,,,0
Kaczmarek,POL,0,0,1,0,0,1
Kurek,POL,0,0,0,,,0
Janusz,POL,0,1,1,0,0,2
Firlej,POL,0,0,0,,,0
Stankov,BUL,0,1,0,0,0,1
Kartev,BUL,0,0,0,,,0
Jendryk,USA,0,0,2,0,0,2
Christenson,USA,0,3,3,0,0,6
Holt,USA,0,0,4,0,0,4
Ma'a,USA,0,0,0,,,0
Averill,USA,0,0,0,,,0
Hofer,CAN,0,2,2,0,0,4
Bostan,TUR,0,0,1,0,0,1
Meijs,NED,0,0,2,0,0,2
Ahyi,NED,0,0,0,,,0
Matheus G.,BRA,0,0,0,,,0
Sadati,IRI,0,0,0,,,0
Oya,JPN,0,0,1,0,0,1
Antov,BUL,0,0,0,,,0
Dobrev,BUL,0,0,0,,,0
Bardarov,BUL,0,1,0,0,0,1
Planinsic,SLO,0,0,0,,,0
Arshia,IRI,0,0,0,,,0
Porro P.,ITA,0,0,0,,,0
Cortesia,ITA,0,0,0,,,0
Gironi,ITA,0,0,1,0,0,1
Rinaldi,ITA,0,0,0,,,0
Gaggini,ITA,0,0,0,,,0
Mosca,ITA,0,2,0,0,0,2
Falaschi,ITA,0,0,0,,,0
Gardini,ITA,0,0,0,,,0
Aslan,TUR,0,0,0,,,0
Schnitzer,CAN,0,0,0,,,0
