Name,Team,Tot_Pts,Tot_Atk,Tot_Block,Tot_Serve
Conte,ARG,121,101,11,9
Danani,ARG,0,0,0,0
De Cecco,ARG,24,11,9,4
Gallego,ARG,2,1,1,0
Kukartsev,ARG,42,37,4,1
Lima B.,ARG,185,154,21,10
Loser Bruno,ARG,116,75,34,7
Martinez Franchi,ARG,17,17,0,0
Palacios,ARG,20,15,1,4
Palonsky,ARG,139,121,10,8
Ramos,ARG,27,23,2,2
Sanchez Pages,ARG,1,0,1,0
Vicentin,ARG,62,45,9,8
Zerba,ARG,92,62,30,0
Adriano,BRA,47,45,0,2
Alan,BRA,107,81,19,7
Arthur,BRA,0,0,0,0
Bruno,BRA,1,0,1,0
Darlan,BRA,164,141,13,10
Fernando,BRA,7,1,4,2
Flavio,BRA,91,57,33,1
Honorato,BRA,0,0,0,0
Isac,BRA,30,23,3,4
Judson,BRA,22,13,7,2
L. Bergmann,BRA,30,25,2,3
Leal,BRA,125,109,8,8
Lucarelli,BRA,137,114,10,13
Lucas,BRA,79,59,11,9
Matheus G.,BRA,0,0,0,0
Mauricio,BRA,25,19,3,3
Thales,BRA,0,0,0,0
Antov,BUL,33,31,0,2
Asparuhov,BUL,92,74,9,9
Bardarov,BUL,0,0,0,0
Bozhilov,BUL,0,0,0,0
D. Kolev,BUL,0,0,0,0
Dimitrov,BUL,91,83,4,4
Dobrev,BUL,0,0,0,0
Garkov,BUL,6,6,0,0
Grozdanov,BUL,93,58,29,6
Kartev,BUL,0,0,0,0
Karyagin,BUL,48,42,6,0
Kolev,BUL,7,6,0,1
Nachev,BUL,5,5,0,0
Petkov,BUL,77,58,10,9
Petrov,BUL,3,2,0,1
S. Nikolov,BUL,55,26,16,13
Stankov,BUL,2,2,0,0
Tatarov,BUL,105,88,9,8
Telkiyski,BUL,0,0,0,0
Valchinov,BUL,11,10,1,0
Barnes,CAN,1,1,0,0
Currie,CAN,0,0,0,0
Demyanenko,CAN,26,18,7,1
Eshenko,CAN,30,21,7,2
Herr,CAN,19,1,10,8
Hoag,CAN,17,12,0,5
Hofer,CAN,6,0,0,6
Loeppky,CAN,180,157,11,12
Lui,CAN,0,0,0,0
Maar,CAN,225,194,17,14
