Name,Team,Pt_Serve,Err_Serve,Att_Serve,MAvg_Serve,p_Serve,Tot_Serve
Nimir,NED,40,56,94,3.33,21.05,190
T. Stern,SLO,31,55,178,2.07,11.74,264
Luburic,SRB,24,37,92,2,15.69,153
Nishida,JPN,19,45,99,1.27,11.66,163
Ropret,SLO,18,34,161,1.2,8.45,213
Cebulj,SLO,18,45,143,1.2,8.74,206
Patry,FRA,14,34,109,0.93,8.92,157
Mandiraci,TUR,14,19,130,1.27,8.59,163
Maar,CAN,14,44,118,1.08,7.95,176
Yant,CUB,14,52,139,1.17,6.83,205
Michieletto,ITA,14,16,103,1.75,10.53,133
S. Nikolov,BUL,13,31,107,1.08,8.61,151
Lucarelli,BRA,13,24,154,1.18,6.81,191
Kozamernik,SLO,13,29,216,0.87,5.04,258
Urnaut,SLO,13,24,165,0.87,6.44,202
Kochanowski,POL,13,25,93,0.87,9.92,131
Loeppky,CAN,12,35,175,0.92,5.41,222
Miyaura,JPN,12,20,56,0.8,13.64,88
Simon,CUB,12,23,112,1,8.16,147
Boladz,POL,12,24,41,1.2,15.58,77
Louati,FRA,11,36,124,0.73,6.43,171
Brizard,FRA,10,29,80,0.67,8.4,119
Gurbuz,TUR,10,21,49,0.83,12.5,80
Bayram,TUR,10,25,69,0.83,9.62,104
Szwarc,CAN,10,34,101,0.77,6.9,145
Lima B.,ARG,10,51,109,0.77,5.88,170
Darlan,BRA,10,51,72,0.77,7.52,133
Pajenk,SLO,10,36,122,0.71,5.95,168
Brand,GER,10,16,106,0.83,7.58,132
Amin,IRI,10,31,122,0.83,6.13,163
Ishikawa,JPN,10,22,107,0.91,7.19,139
Leon,POL,10,25,42,1.43,12.99,77
Asparuhov,BUL,9,37,79,0.75,7.2,125
Petkov,BUL,9,29,87,0.75,7.2,125
Conte,ARG,9,23,86,0.69,7.63,118
Lucas,BRA,9,26,120,0.82,5.81,155
Van Garderen,NED,9,42,101,0.75,5.92,152
Kujundzic,SRB,9,29,65,0.75,8.74,103
Peric,SRB,9,24,41,0.75,12.16,74
Tatarov,BUL,8,31,97,0.67,5.88,136
Clevenot,FRA,8,26,134,0.57,4.76,168
Bedirhan,TUR,8,17,126,0.67,5.3,151
Herr,CAN,8,32,104,0.62,5.56,144
McCarthy,CAN,8,31,115,0.62,5.19,154
Vicentin,ARG,8,19,30,0.62,14.04,57
Palonsky,ARG,8,27,111,0.62,5.48,146
Kai,JPN,8,17,56,0.53,9.88,81
Leal,BRA,8,26,88,0.73,6.56,122
Koops,NED,8,22,38,0.67,11.76,68
Maase,GER,8,19,111,0.67,5.8,138
Romano,ITA,8,20,64,1,8.7,92
Karlitzek,GER,8,24,46,1,10.26,78
Fornal,POL,8,26,68,0.73,7.84,102
Defalco,USA,8,17,68,1,8.6,93
Faure,FRA,7,30,53,0.47,7.78,90
Seddik,FRA,7,51,65,0.47,5.69,123
Loser Bruno,ARG,7,21,169,0.54,3.55,197
Otsuka,JPN,7,13,91,0.54,6.31,111
Concepcion,CUB,7,22,135,0.58,4.27,164
Lopez,CUB,7,41,106,0.58,4.55,154
Alan,BRA,7,18,57,0.54,8.54,82
Keemink,NED,7,6,148,0.58,4.35,161
Plak,NED,7,36,60,0.58,6.8,103
Giannelli,ITA,7,18,88,0.88,6.19,113
Moslehabadi,IRI,7,23,63,0.64,7.53,93
Morteza,IRI,7,16,58,0.64,8.64,81
Anderson,USA,7,20,60,0.88,8.05,87
Grozdanov,BUL,6,20,100,0.5,4.76,126
Onodera,JPN,6,28,97,0.4,4.58,131
Knigge,USA,6,9,38,1.2,11.32,53
Milad,IRI,6,37,96,0.5,4.32,139
Mohammad,IRI,6,12,170,0.5,3.19,188
Atanasijevic,SRB,6,27,53,0.5,6.98,86
Hofer,CAN,6,4,32,0.67,14.29,42
Toniutti,FRA,5,2,120,0.33,3.94,127
A. Lagumdzija,TUR,5,25,65,0.42,5.26,95
Yenipazar,TUR,5,17,84,0.42,4.72,106
Hoag,CAN,5,8,31,0.38,11.36,44
Tomita,JPN,5,7,35,0.38,10.64,47
Mergarejo,CUB,5,14,66,0.42,5.88,85
Wiltenburg,NED,5,7,57,0.42,7.25,69
Ewert,USA,5,12,53,0.62,7.14,70
Semeniuk,POL,5,16,62,0.36,6.02,83
Lavia,ITA,5,19,95,0.62,4.2,119
Nedeljkovic,SRB,5,15,99,0.42,4.2,119
Jouffroy,FRA,5,26,74,0.38,4.76,105
Tille,GER,5,14,59,0.62,6.41,78
Kampa,GER,5,10,61,0.62,6.58,76
Huber,POL,5,17,81,0.45,4.85,103
Bottolo,ITA,5,14,35,1,9.26,54
Dimitrov,BUL,4,23,63,0.33,4.44,90
M. Lagumdzija,TUR,4,11,42,0.33,7.02,57
Palacios,ARG,4,8,20,0.31,12.5,32
De Cecco,ARG,4,10,121,0.31,2.96,135
Yamauchi,JPN,4,12,118,0.27,2.99,134
Sekita,JPN,4,0,163,0.29,2.4,167
Isac,BRA,4,8,43,0.36,7.27,55
Ter Horst,NED,4,8,35,1,8.51,47
Ter Maat,NED,4,9,23,0.33,11.11,36
Sliwka,POL,4,15,55,0.29,5.41,74
Fromm,GER,4,9,29,0.33,9.52,42
Russo,ITA,4,17,57,0.5,5.13,78
Porro L.,ITA,4,26,48,0.31,5.13,78
Poriya,IRI,4,18,37,0.33,6.78,59
Salehi,IRI,4,14,36,0.36,7.41,54
Ivovic,SRB,4,19,89,0.33,3.57,112
Grozer,GER,4,12,29,0.5,8.89,45
Schott,GER,4,14,52,0.5,5.71,70
Kurek,POL,4,27,60,0.4,4.4,91
Jaeschke,USA,4,8,28,1,10,40
Muagututia,USA,4,7,52,0.5,6.35,63
Bieniek,POL,4,14,62,0.67,5,80
Tillie,FRA,3,11,73,0.2,3.45,87
Ngapeth,FRA,3,9,38,0.5,6,50
Bultor,FRA,3,9,37,0.25,6.12,49
Wassenaar Ketrzynski,CAN,3,15,21,0.23,7.69,39
Sanchez. B,CUB,3,23,82,0.25,2.78,108
